Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
db5b8670cfd1cfbd73d3f346ab3ad9903a887c1bed4fa19a3eec9b6e37aa767a,2023-04,Dorset Police,Dorset Police,-1.872741,50.808484,On or near Emberley Close,E01020394,East Dorset 008E,Investigation complete; no suspect identified
c05b5ad6d4607074115356d48cc3f2325613233a4592ec2a574b7fc9abddfcee,2023-04,Dorset Police,Dorset Police,-1.941633,50.738208,On or near Rachel Close,E01015444,Poole 008F,Investigation complete; no suspect identified
0e11b85ed57e2c7d52f181381aa3c2f4a8d3c7512e312b64d969f845ccb467fe,2023-04,Dorset Police,Dorset Police,-2.826761,50.733653,On or near Chideock Hill,E01020517,West Dorset 007B,Investigation complete; no suspect identified
a300c7af00b4cdac24afa7182fb60e8386ced2fffdcc13e71be7a15a3b4935c3,2023-04,Dorset Police,Dorset Police,-2.359693,50.878005,On or near Pidney Green,E01020448,North Dorset 008E,Investigation complete; no suspect identified
f91d064bbaf1436d108551aa71bf5e3d074dffed58548bab49db7516e6e5fdad,2023-04,Dorset Police,Dorset Police,-1.872115,50.725733,On or near Dean Park Road,E01015287,Bournemouth 017D,Investigation complete; no suspect identified
36931c63722749fd4112272e81ced8b4305d717a71dad1c5c723d9eeb86156d7,2023-04,Dorset Police,Dorset Police,-1.837766,50.727750,On or near Haviland Road West,E01015280,Bournemouth 019C,Investigation complete; no suspect identified
a7e6a615906110044eb78ba2faf295e2438e96ed76035fc04ccfa798d69cfe9d,2023-04,Dorset Police,Dorset Police,-1.899412,50.769270,On or near ,E01015303,Bournemouth 001B,Investigation complete; no suspect identified
29704d59ab16aeca45c7af2fc3802e9fbee13debc4e633df9b8036c84690a50f,2023-04,Dorset Police,Dorset Police,-1.858029,50.759835,On or near Shillingstone Drive,E01015352,Bournemouth 004D,Investigation complete; no suspect identified
ded73ed842921f75f4b64a907499341739d8f33a3c16ce545c2b39418c665376,2023-04,Dorset Police,Dorset Police,-2.285404,50.748573,On or near Trent Close,E01020540,West Dorset 004E,Investigation complete; no suspect identified
0ea314390f071189c61beaf5b3affd832c9a6443c700552af9b561ef45bd60a2,2023-04,Dorset Police,Dorset Police,-2.236155,50.842584,On or near North Street,E01020441,North Dorset 008D,Investigation complete; no suspect identified
fd0bb4a86052d488e6a207bcb92344bbe4df279497c41d8eddac95f84a0e573b,2023-04,Dorset Police,Dorset Police,-2.533280,50.941079,On or near Clanfield,E01020547,West Dorset 001F,Investigation complete; no suspect identified
7944b43a0420ec10c3565d275798a8369a2959af53fe8573fc7873fd1617ab6b,2023-04,Dorset Police,Dorset Police,-1.976041,50.794585,On or near Riverside Park Industrial Estate,E01020427,East Dorset 010B,Investigation complete; no suspect identified
9cc80ec031202ab412e09cf16439ca661763517c0c64025310e014559b9fa4df,2023-04,Dorset Police,Dorset Police,-2.435187,50.715188,On or near Church Street,E01032644,West Dorset 009H,Investigation complete; no suspect identified
aed1770a8e7e82661e95ed5c1ac103e194823f96d1c5d917c93aaa4abb42a6a6,2023-04,Dorset Police,Dorset Police,-1.873451,50.877044,On or near Bugdens Lane,E01020420,East Dorset 002E,Investigation complete; no suspect identified
a0ac3e0e8c1def6ff9f320a23dee2e7ef93354cb1f38c96008ee26d7eeaee1f5,2023-04,Dorset Police,Dorset Police,-1.975938,50.718706,On or near Seldown,E01015468,Poole 015D,Investigation complete; no suspect identified
b5e137a98f218eaeabfab20cd87265e8ad0cbe102804920cd7c7e7d768010f3d,2023-04,Dorset Police,Dorset Police,-1.873519,50.809798,On or near Ford Close,E01020394,East Dorset 008E,Investigation complete; no suspect identified
1c724882752523b78f09fd000aba74d73983fb22db41c6d5ef93edeb6ed91aea,2023-04,Dorset Police,Dorset Police,-1.884229,50.719730,On or near Commercial Road,E01015367,Bournemouth 024A,Investigation complete; no suspect identified
5a894af9e32918b6dfaccbaf3a95876a6e7619bc75eabdbfb6a665b80392f6e7,2023-04,Dorset Police,Dorset Police,-1.926186,50.757655,On or near ,E01015308,Bournemouth 002C,Investigation complete; no suspect identified
da35e7218383c939ec93d89b58b2d06a0dd303d24fc734c4d135217338eae4b1,2023-04,Dorset Police,Dorset Police,-1.847174,50.732106,On or near Curzon Road,E01015292,Bournemouth 015A,Investigation complete; no suspect identified
1f3ee565a593f944a0be747daf2db6a707dca6fe7e9117a9663321ff13fe2e79,2023-04,Dorset Police,Dorset Police,-1.923854,50.725869,On or near Doyne Road,E01015402,Poole 018A,Investigation complete; no suspect identified
d0f447da2ba5552abf5a3c212469c032fbb2464ad8f871ef9ed18e2861b40fe2,2023-04,Dorset Police,Dorset Police,-1.979477,50.755522,On or near Thorn Road,E01015412,Poole 004A,Investigation complete; no suspect identified
917cd17e751c01ebe012fde4cd3d7edaa1d4f5cfeedeffea2fc3ab7e4cf36866,2023-04,Dorset Police,Dorset Police,-2.518720,50.944912,On or near Durrant Close,E01020546,West Dorset 001E,Investigation complete; no suspect identified
28704bd7c8878cad81314bbc343c6cae9243083305849c4b4958e8188dcb2edb,2023-04,Dorset Police,Dorset Police,-1.872191,50.729241,On or near Cavendish Place,E01015286,Bournemouth 017C,Investigation complete; no suspect identified
04ca53fb8b48b1423fecbbf9c9db8dc12e2902de9251a89272c54b87621261be,2023-04,Dorset Police,Dorset Police,-1.884691,50.745216,On or near Bengal Road,E01015360,Bournemouth 012D,Investigation complete; no suspect identified
6948733bdf6517349b4670b9c5fa183c2134c75cab460d18b9b2fe0840a4c519,2023-04,Dorset Police,Dorset Police,-1.847542,50.727853,On or near Hamilton Close,E01015281,Bournemouth 019D,Investigation complete; no suspect identified
825a5ab761925862aa19a3b47b3106a825aec0f550394d63cdbeea2bf17e7208,2023-04,Dorset Police,Dorset Police,-1.746268,50.741031,On or near Coleridge Green,E01020347,Christchurch 005B,Investigation complete; no suspect identified
14017acba0a2d8d6b312abc950debfd512d1426bfbd9bf680eaaa1a558d3b86a,2023-04,Dorset Police,Dorset Police,-1.986323,50.712089,On or near The Quay,E01032661,Poole 015H,Investigation complete; no suspect identified
de082a546136549ca6b17a9d9287bc15b3d14c3f7fba1f03c64bcd43bb43564c,2023-04,Dorset Police,Dorset Police,-1.874706,50.806319,On or near Dugdell Close,E01020394,East Dorset 008E,Investigation complete; no suspect identified
d012a3689b54b79d60bba511be938bb525fdca185c1969ff7f903f1da6606a61,2023-04,Dorset Police,Dorset Police,-1.922650,50.708476,On or near Spencer Road,E01015404,Poole 018C,Investigation complete; no suspect identified
e9925219a14162688ebce23ec8f4891b75f9cffe0f72d3ebabd9aaa5910f6d6b,2023-04,Dorset Police,Dorset Police,-2.436679,50.715677,On or near The Bow,E01032644,West Dorset 009H,Investigation complete; no suspect identified
fa44edbf881a79f2bc5939ef2b78df1632c3116e9370f9080ffe9afabcd3502e,2023-04,Dorset Police,Dorset Police,-2.510103,50.940372,On or near ,E01020541,West Dorset 002C,Investigation complete; no suspect identified
dca8d543698cf310f6dc1be6abb6e00e3c87d3cf2e59f61351d49c1fca21b163,2023-04,Dorset Police,Dorset Police,-1.833323,50.910013,On or near Pine Road,E01020373,East Dorset 001A,Investigation complete; no suspect identified
122c3585a14bba20591fae9aeeeaa4f9c518b0c428c10bec63afbf09d7a9c28f,2023-04,Dorset Police,Dorset Police,-1.860905,50.726980,On or near ,E01015288,Bournemouth 021B,Investigation complete; no suspect identified
e7a0a2f142c32f85d86f27caefcb422149a4c1bb37d121651e2e74730c7130db,2023-04,Dorset Police,Dorset Police,-2.937559,50.729460,On or near Windsor Terrace,E01020533,West Dorset 005C,Investigation complete; no suspect identified
c8997d427eff3375de6142c830d8b77f354eb5734df40e6d5c3ebb4799b2b727,2023-04,Dorset Police,Dorset Police,-2.183948,51.005503,On or near Trinity Road,E01020455,North Dorset 003B,Investigation complete; no suspect identified
6fb6ac3f4e5c5a1094a56072dedbc458b7ada3c0d857c87cf0059e3388c71aea,2023-04,Dorset Police,Dorset Police,-2.025867,50.738858,On or near Briarswood Road,E01020472,Purbeck 002B,Investigation complete; no suspect identified
9c0a35c4c78197b8c5b0340771f15c40ac60b74a676a1290d1f7a78523b1cf1a,2023-04,Dorset Police,Dorset Police,-1.836018,50.729303,On or near Portman Road,E01015277,Bournemouth 016E,Investigation complete; no suspect identified
